component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
34218,2,5305.0,1130.0,137.000,167.850
37560,2,5335.5,1150.0,138.525,166.850
39399,2,5278.5,1160.0,135.675,166.350
41634,2,5185.0,1170.0,131.000,165.850
42369,2,5185.0,1172.5,131.000,165.725
43392,2,5315.0,1176.5,137.500,165.525
43902,2,5142.5,1180.0,128.875,165.350
43903,2,5155.0,1179.5,129.500,165.375
43904,2,5162.5,1180.0,129.875,165.350
43907,2,5280.5,1180.0,135.775,165.350
45784,2,4892.5,1190.0,116.375,164.850
45787,2,4968.5,1190.0,120.175,164.850
45792,2,5044.5,1190.0,123.975,164.850
45798,2,5108.5,1190.0,127.175,164.850
45799,2,5110.5,1190.0,127.275,164.850
45800,2,5116.5,1190.0,127.575,164.850
45801,2,5125.0,1190.0,128.000,164.850
45803,3,5155.0,1190.0,129.500,164.850
45804,2,5160.5,1190.0,129.775,164.850
45808,2,5194.5,1190.0,131.475,164.850
45820,2,5445.5,1190.0,144.025,164.850
45981,2,5135.0,1190.5,128.500,164.825
45992,2,5285.0,1190.5,136.000,164.825
47561,2,4634.5,1200.0,103.475,164.350
47563,2,4646.5,1200.0,104.075,164.350
47568,2,4686.5,1200.0,106.075,164.350
47570,2,4696.5,1200.0,106.575,164.350
47575,2,4742.5,1200.0,108.875,164.350
47576,2,4752.5,1200.0,109.375,164.350
47585,2,4890.5,1200.0,116.275,164.350
47589,2,4910.5,1200.0,117.275,164.350
47594,2,4976.5,1200.0,120.575,164.350
47598,2,5042.5,1200.0,123.875,164.350
47601,2,5064.5,1200.0,124.975,164.350
47604,2,5102.5,1200.0,126.875,164.350
47616,2,5224.5,1200.0,132.975,164.350
47618,3,5275.0,1200.0,135.500,164.350
47624,2,5360.5,1200.0,139.775,164.350
49170,2,5155.0,1206.5,129.500,164.025
49172,2,5185.0,1206.5,131.000,164.025
49455,2,4012.5,1210.0,72.375,163.850
49456,3,4027.0,1210.0,73.100,163.850
49469,2,4126.5,1210.0,78.075,163.850
49471,2,4136.5,1210.0,78.575,163.850
49473,2,4144.5,1210.0,78.975,163.850
49475,2,4156.5,1210.0,79.575,163.850
49477,2,4166.5,1210.0,80.075,163.850
49478,2,4168.5,1210.0,80.175,163.850
49479,2,4176.5,1210.0,80.575,163.850
49480,2,4182.5,1210.0,80.875,163.850
49483,2,4192.5,1210.0,81.375,163.850
49484,2,4200.5,1210.0,81.775,163.850
49485,2,4206.5,1210.0,82.075,163.850
49488,2,4244.5,1210.0,83.975,163.850
49489,2,4246.5,1210.0,84.075,163.850
49491,2,4262.5,1210.0,84.875,163.850
49492,2,4276.5,1210.0,85.575,163.850
49493,2,4278.5,1210.0,85.675,163.850
49494,2,4282.5,1210.0,85.875,163.850
49495,2,4284.5,1210.0,85.975,163.850
49496,2,4286.5,1210.0,86.075,163.850
49497,2,4288.5,1210.0,86.175,163.850
49499,2,4298.5,1210.0,86.675,163.850
49501,2,4302.5,1210.0,86.875,163.850
49504,2,4310.5,1210.0,87.275,163.850
49506,2,4314.5,1210.0,87.475,163.850
49507,2,4316.5,1210.0,87.575,163.850
49508,2,4318.5,1210.0,87.675,163.850
49509,2,4328.5,1210.0,88.175,163.850
49511,2,4340.5,1210.0,88.775,163.850
49514,2,4358.5,1210.0,89.675,163.850
49518,2,4372.5,1210.0,90.375,163.850
49519,2,4378.5,1210.0,90.675,163.850
49520,2,4380.5,1210.0,90.775,163.850
49522,2,4386.5,1210.0,91.075,163.850
49523,2,4388.5,1210.0,91.175,163.850
49528,2,4402.5,1210.0,91.875,163.850
49530,2,4406.5,1210.0,92.075,163.850
49531,2,4408.5,1210.0,92.175,163.850
49533,2,4414.5,1210.0,92.475,163.850
49539,2,4454.5,1210.0,94.475,163.850
49540,2,4458.5,1210.0,94.675,163.850
49541,2,4460.5,1210.0,94.775,163.850
49544,2,4482.5,1210.0,95.875,163.850
49549,2,4500.5,1210.0,96.775,163.850
49554,2,4554.5,1210.0,99.475,163.850
49555,2,4560.5,1210.0,99.775,163.850
49556,2,4562.5,1210.0,99.875,163.850
49557,2,4566.5,1210.0,100.075,163.850
49558,2,4568.5,1210.0,100.175,163.850
49562,2,4590.5,1210.0,101.275,163.850
49563,2,4592.5,1210.0,101.375,163.850
49566,2,4604.5,1210.0,101.975,163.850
49571,2,4650.5,1210.0,104.275,163.850
49572,2,4654.5,1210.0,104.475,163.850
49573,2,4658.5,1210.0,104.675,163.850
49576,2,4668.5,1210.0,105.175,163.850
49579,2,4684.5,1210.0,105.975,163.850
49584,2,4702.5,1210.0,106.875,163.850
49588,2,4720.5,1210.0,107.775,163.850
49591,2,4744.5,1210.0,108.975,163.850
49594,2,4752.5,1210.0,109.375,163.850
49595,2,4764.5,1210.0,109.975,163.850
49605,2,4850.5,1210.0,114.275,163.850
49607,2,4862.5,1210.0,114.875,163.850
49610,2,4872.5,1210.0,115.375,163.850
49614,2,4902.5,1210.0,116.875,163.850
49618,2,4956.5,1210.0,119.575,163.850
49619,2,4978.5,1210.0,120.675,163.850
49620,2,4984.5,1210.0,120.975,163.850
49622,2,4988.5,1210.0,121.175,163.850
49623,2,4990.5,1210.0,121.275,163.850
49629,2,5040.5,1210.0,123.775,163.850
49631,2,5052.5,1210.0,124.375,163.850
49634,2,5084.5,1210.0,125.975,163.850
49637,2,5124.5,1210.0,127.975,163.850
